date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-05-26,2024,14,Beijing Guoan,Nantong Zhiyun,0,0.5659164147434771,0.31553851227660173,0.11854507297992123,0.8902369028030352,1.39,4.53,6.63,1.67,4.0,4.87,draw,0.429389460613006,-1.0,0.03482291596816767,0.03600547935893401,0.01841358926909877
2024-05-26,2024,14,Chengdu Rongcheng,Qingdao West Coast,0,0.8252245237874622,0.1269072101878926,0.047868266024645084,0.8902369028030352,1.25,5.58,8.54,1.1,10.73,19.45,home,0.0315306547343277,0.25,0.13303720590647394,0.12952981859428261,0.07027771992796684
2024-06-14,2024,15,Tianjin Jinmen Tiger,Shanghai Port,2,0.16443587883245134,0.2618910662284042,0.5736730549391446,0.8937245330261201,5.52,4.88,1.42,5.74,4.57,1.51,draw,0.27802840319461253,-1.0,0.019408579775964385,0.020591143166730722,0.01697204951365575
2024-06-14,2024,15,Nantong Zhiyun,Shenzhen Xinpengcheng,2,0.40374817507210087,0.35488732399663253,0.24136450093126663,0.8937245330261201,2.16,3.36,3.16,3.35,3.05,2.22,draw,0.1924214086286853,-1.0,0.028145747696364798,0.029328311087131135,0.021287916643532606
2024-06-14,2024,15,Meizhou Hakka,Shandong Taishan,1,0.13241421859893368,0.30672585151583853,0.5608599298852278,0.8937245330261201,5.0,3.94,1.58,4.76,4.22,1.64,draw,0.20849985497240375,2.94,-0.00932462722626623,-0.008142063835499891,0.02025342472866321
2024-06-15,2024,15,Henan Songshan Longmen,Beijing Guoan,0,0.2686203654537972,0.32793966351208764,0.4034399710341151,0.8895340563152773,3.2,3.59,2.05,2.17,3.44,3.34,draw,0.17730339200839462,-1.0,0.01841888206802922,0.019601445458795556,0.020360053139398832
2024-06-15,2024,15,Zhejiang Professional,Changchun Yatai,0,0.6746242367341201,0.2020690958129989,0.12330666745288096,0.8895340563152773,1.48,4.4,5.44,1.43,5.17,5.99,home,-0.0015561296335022679,0.48,0.03819637887980998,0.034688991567618656,0.05394847095453862
2024-06-16,2024,15,Cangzhou,Qingdao Hainiu,2,0.36715825664534285,0.31475862487531486,0.31808311847934234,0.8813999202469469,2.14,3.52,3.07,3.05,3.61,2.25,draw,0.10795035956110843,-1.0,0.00023594043345648297,0.0014185038242228213,0.020338851601648195
2024-06-16,2024,15,Shanghai Shenhua,Chengdu Rongcheng,1,0.40109453199639733,0.42219822673041535,0.17670724127318746,0.8813999202469469,1.83,3.51,4.01,1.97,3.36,4.05,draw,0.4819157758237578,2.51,0.019248746312955867,0.020431309703722204,0.02128067481719313
2024-06-16,2024,15,Qingdao West Coast,Wuhan Three Towns,2,0.15115668725034315,0.22566994966452833,0.6231733630851286,0.8813999202469469,3.43,3.42,2.03,5.44,4.36,1.55,away,0.26504192706281104,1.0299999999999998,0.15201456996056356,0.15433939388198856,0.03502953607043086
2024-06-18,2024,7,Meizhou Hakka,Shanghai Port,2,0.0816014858664124,0.18159649603473937,0.7368020180988483,0.8837180161748427,7.34,4.89,1.32,8.34,5.8,1.25,away,-0.027421336109520245,0.32000000000000006,0.042625415070221884,0.04495023899164687,0.06781363044118588
2024-06-25,2024,16,Henan Songshan Longmen,Qingdao West Coast,0,0.655779578210174,0.21249556966946365,0.13172485212036247,0.8812897720762952,1.42,4.55,6.11,1.33,5.26,8.8,draw,-0.03314515800394047,-1.0,-0.021969511127979874,-0.020786947737213537,0.01771536768054979
